Time,Column1,Time,integer,Apr 19 07:34:38 2022,,
1:09 PM,-1.00,1:09 PM,13:09,Apr 20 16:01:19 2022,,1:09 PM
4:01 PM,6.00,4:01 PM,16:01,Apr 20 16:41:48 2022,,4:01 PM
4:41 PM,1.00,4:41 PM,16:41,Apr 20 18:19:07 2022,,4:41 PM
6:19 PM,9.00,6:19 PM,18:19,Apr 21 07:36:57 2022,,6:19 PM
7:36 AM,11.00,7:36 AM,7:36,Apr 21 07:56:54 2022,,7:36 AM
7:56 AM,1.00,7:56 AM,7:56,Apr 21 11:28:14 2022,,7:56 AM
11:28 AM,3.00,11:28 AM,11:28,Apr 21 11:52:38 2022,,11:28 AM
11:52 AM,-3.00,11:52 AM,11:52,Apr 21 12:12:23 2022,,11:52 AM
12:12 PM,2.00,12:12 PM,12:12,Apr 21 13:17:02 2022,,12:12 PM
1:17 PM,7.00,1:17 PM,13:17,Apr 21 13:41:56 2022,,1:17 PM
1:41 PM,1.00,1:41 PM,13:41,Apr 19 13:41:44 2022,,1:41 PM
1:41 PM,1.00,1:41 PM,13:41,Apr 19 15:06:01 2022,,1:41 PM
3:06 PM,-4.00,3:06 PM,15:06,Apr 19 15:31:52 2022,,3:06 PM
3:31 PM,6.00,3:31 PM,15:31,Apr 19 07:38:19 2022,,3:31 PM
7:38 AM,13.00,7:38 AM,7:38,Apr 19 07:56:58 2022,,7:38 AM
7:56 AM,1.00,7:56 AM,7:56,Apr 19 08:18:52 2022,,7:56 AM
8:18 AM,8.00,8:18 AM,8:18,Apr 19 08:37:13 2022,,8:18 AM
8:37 AM,-3.00,8:37 AM,8:37,Apr 19 09:17:55 2022,,8:37 AM
9:17 AM,7.00,9:17 AM,9:17,Apr 19 09:37:16 2022,,9:17 AM
9:37 AM,-3.00,9:37 AM,9:37,Apr 19 09:58:07 2022,,9:37 AM
9:58 AM,3.00,9:58 AM,9:58,Apr 19 10:17:16 2022,,9:58 AM
10:17 AM,7.00,10:17 AM,10:17,Apr 19 11:40:46 2022,,10:17 AM
11:40 AM,0.00,11:40 AM,11:40,Apr 19 13:12:39 2022,,11:40 AM
1:12 PM,2.00,1:12 PM,13:12,Apr 19 13:32:57 2022,,1:12 PM
1:32 PM,7.00,1:32 PM,13:32,Apr 19 14:46:35 2022,,1:32 PM
2:46 PM,6.00,2:46 PM,14:46,Apr 20 11:44:24 2022,,2:46 PM
11:44 AM,4.00,11:44 AM,11:44,Apr 20 12:08:42 2022,,11:44 AM
12:08 PM,-2.00,12:08 PM,12:08,Apr 20 12:49:05 2022,,12:08 PM
12:49 PM,9.00,12:49 PM,12:49,Apr 20 13:09:23 2022,,12:49 PM
1:09 PM,-1.00,1:09 PM,13:09,Apr 20 13:33:41 2022,,1:09 PM
1:33 PM,8.00,1:33 PM,13:33,Apr 20 14:17:14 2022,,1:33 PM
2:17 PM,7.00,2:17 PM,14:17,Apr 20 14:33:44 2022,,2:17 PM
2:33 PM,8.00,2:33 PM,14:33,,,2:33 PM
