arrival_1,arrival_3,arrival_2,stop_id,current_time,bus_id
 3:12 PM, 3:37 P, 6:08 PM,2675,2022-04-19 22:01:50.442,15
 3:18 PM, 3:46 PM, 4:06 PM,2102,2022-04-19 22:01:51.921,18
 3:20 PM, 3:48 PM, 4:08 PM,1617,2022-04-19 22:01:51.633,18
 3:25 PM, 3:54 PM, 4:14 PM,1615,2022-04-19 22:01:56.100,18
 3:29 PM, 3:58 PM, 4:18 PM,2448,2022-04-19 22:01:56.174,18
 3:06 PM, 4:06 PM, 5:06 PM,2102,2022-04-19 22:01:56.763,20
 3:09 PM, 4:09 PM, 5:09 PM,1616,2022-04-19 22:02:00.851,20
 3:22 PM, 3:51 PM, 4:11 PM,1616,2022-04-19 22:02:00.991,18
 3:11 PM, 4:10 PM, 5:10 PM,1615,2022-04-19 22:02:03.890,20
 3:14 PM, 4:14 PM, 5:14 PM,2448,2022-04-19 22:02:04.294,20
 3:26 PM, 4:26 PM, 5:56 PM,2671,2022-04-19 22:02:06.377,19
 3:03 PM, 3:31 PM, 4:31 PM,2675,2022-04-19 22:02:11.076,19
 3:14 PM, 3:39 PM, 6:11 PM,2676,2022-04-19 22:02:41.424,15
 3:08 PM, 4:08 PM, 5:08 PM,1617,2022-04-19 22:02:48.849,20
 3:28 PM, 4:28 PM, 4:58 PM,2672,2022-04-19 22:02:57.880,19
arriving, 3:30 PM, 4:30 PM,2674,2022-04-19 22:02:58.776,19
 3:05 PM, 3:33 PM, 4:33 PM,2676,2022-04-19 22:03:04.805,19
 4:36 PM, 5:31 P, 7:06 PM,1617,2022-04-19 23:00:48.239,10
 4:32 PM, 5:33 PM, 7:08 PM,1616,2022-04-19 23:00:51.597,10
 4:05 PM, 4:34 P, 6:04 PM,2674,2022-04-19 23:01:13.918,15
 4:19 PM, 4:48 PM, 5:03 PM,2102,2022-04-19 23:01:34.922,18
 4:04 PM, 4:31 P, 6:02 PM,2672,2022-04-19 23:01:47.980,15
 4:38 PM, 5:38 PM, 7:13 PM,2448,2022-04-19 23:01:47.752,10
 4:02 PM, 4:29 P, 6:00 PM,2671,2022-04-19 23:01:51.611,15
 4:24 PM, 4:52 PM, 5:07 PM,1615,2022-04-19 23:02:02.397,18
 4:23 PM, 4:50 PM, 5:05 PM,1616,2022-04-19 23:02:04.209,18
 4:07 PM, 4:35 PM, 6:06 PM,2675,2022-04-19 23:02:03.594,15
 4:10 PM, 4:36 PM, 6:09 PM,2676,2022-04-19 23:02:07.657,15
 4:15 PM, 5:15 PM,,1615,2022-04-19 23:02:26.450,20
 4:21 PM, 4:49 PM, 5:04 PM,1617,2022-04-19 23:02:48.379,18
arriving, 4:28 PM, 4:55 PM,2448,2022-04-19 23:02:54.090,18
 4:08 PM, 5:08 PM, 8:02 PM,1617,2022-04-19 23:03:02.610,20
 4:12 PM, 5:12 PM,,1616,2022-04-19 23:03:15.016,20
 4:05 PM, 5:05 PM, 8:01 PM,2102,2022-04-19 23:03:22.671,20
 4:18 PM, 5:19 PM,,2448,2022-04-19 23:03:44.883,20
 4:33 PM, 5:03 PM, 5:33 PM,2675,2022-04-19 23:03:48.309,19
